id_production,id_content,title_production,genre,premiere,runtime,imdb_score,language,type,title_content,director,cast,country,date_added,release_year,rating,duration,listed_in,description,id_oscar,id_inf,id_res,title_oscar,year_ceremony,category,name,winner,directed_by,based_on,starring,distributed_by,budget,budget_x_million,box_office,box_office_x_million,imdb,metascore,rotten_tomatoes
1.0,1.0,Dick Johnson Is Dead,Documentary,"October 2, 2020",90.0,7.5,English,Movie,Dick Johnson Is Dead,Kirsten Johnson,NA,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",1.0,26.0,10359.0,1917,2020.0,CINEMATOGRAPHY,Roger Deakins,1.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
2.0,1093.0,Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55.0,6.5,English,TV Show,Blood & Water,NA,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2.0,26.0,10368.0,1917,2020.0,DIRECTING,Sam Mendes,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
3.0,1071.0,Why Did You Kill Me?,Documentary,"April 14, 2021",83.0,5.6,English,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",NA,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",3.0,26.0,10395.0,1917,2020.0,MAKEUP AND HAIRSTYLING,Naomi Donne. Tristan Versluis and Rebecca Cole,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
4.0,142.0,Extraction,Action,"April 24, 2020",117.0,6.7,English,TV Show,Jailbirds New Orleans,NA,NA,NA,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",4.0,26.0,10399.0,1917,2020.0,MUSIC (Original Score),Thomas Newman,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
5.0,3988.0,Antoine Griezmann: The Making of a Legend,Documentary,"March 21, 2019",60.0,6.5,French,TV Show,Kota Factory,NA,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",5.0,26.0,10412.0,1917,2020.0,BEST PICTURE,Sam Mendes. Pippa Harris. Jayne-Ann Tenggren and Callum McDougall. Producers,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
6.0,625.0,Prime Time,Thriller,"April 14, 2021",91.0,5.7,Polish,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",NA,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",6.0,26.0,10417.0,1917,2020.0,PRODUCTION DESIGN,Production Design: Dennis Gassner. Set Decoration: Lee Sandales,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
7.0,835.0,Blue Miracle,Drama,"may 27, 2021",95.0,6.7,English,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",NA,"September 24, 2021",2021,PG,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",7.0,26.0,10432.0,1917,2020.0,SOUND EDITING,Oliver Tarney and Rachael Tate,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
8.0,837.0,Ghost Lab,Horror,"may 26, 2021",117.0,5.2,Thai,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",8.0,26.0,10438.0,1917,2020.0,SOUND MIXING,Mark Taylor and Stuart Wilson,1.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
9.0,841.0,Baggio: The Divine Ponytail,Biopic,"may 26, 2021",92.0,6.2,Italian,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",9.0,26.0,10443.0,1917,2020.0,VISUAL EFFECTS,Guillaume Rocheron. Greg Butler and Dominic Tuohy,1.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
10.0,845.0,Nail Bomber: Manhunt,Documentary,"may 26, 2021",72.0,6.3,English,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,10.0,26.0,10452.0,1917,2020.0,WRITING (Original Screenplay),Written by Sam Mendes & Krysty Wilson-Cairns,0.0,Sam Mendes,NA,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0,$384.9 million,384.9,8.3,78.0,89.0
